lsiclassnr;count;token;name
32711000;32550;"BAUSTELLE_VERKEHR";"Baustelle (Verkehr)"
34110000;124840;"AUTOBAHN";"Autobahn"
34120000;57620;"KRAFTFAHRSTRASSE";"Kraftfahrstraﬂe"
34130000;11058;"LANDSTRASSE";"Landstraﬂe (unspezifiziert)"
34131000;623974;"BUNDESSTRASSE";"Bundesstraﬂe"
34132000;1614468;"LANDSTRASSE_SEKUNDAER";"Landstraﬂe (sekund‰r)"
34133000;1690508;"LANDSTRASSE_TERTIAER";"Landstraﬂe (terti‰r)"
34134000;1587660;"LANDSTRASSE_UNKLASSIFIZIERT";"Landstraﬂe (unklassifiziert)"
34141000;7855016;"INNERORTSTRASSE";"Innerortstraﬂe"
34142000;485778;"VERKEHRSBERUHIGTER_BEREICH";"Verkehrsberuhigter Bereich"
34171000;82416;"ANSCHLUSSSTELLE_AUTOBAHN";"Anschlussstelle (Autobahn)"
34172000;41010;"ANSCHLUSSSTELLE_KRAFTFAHRSTRASSE";"Anschlussstelle (Kraftfahrstraﬂe)"
34173000;43022;"ANSCHLUSSSTELLE_BUNDESSTRASSE";"Anschlussstelle (Bundesstraﬂe)"
34174000;23322;"ANSCHLUSSSTELLE_SEKUNDAER";"Anschlussstelle (sekund‰r)"
34175000;9782;"ANSCHLUSSSTELLE_TERTIAER";"Anschlussstelle (terti‰r)"
34176000;145740;"KREISVERKEHR";"Kreisverkehr"
